gene_id	gene_name	sample_id	cell_line	dex	normalized_count
ENSG00000109906.17	ZBTB16	SRR1039508	N61311	untrt	22.7994247280794
ENSG00000109906.17	ZBTB16	SRR1039509	N61311	trt	2148.72978487965
ENSG00000109906.17	ZBTB16	SRR1039512	N052611	untrt	21.9533388530938
ENSG00000109906.17	ZBTB16	SRR1039513	N052611	trt	1782.68301910055
ENSG00000109906.17	ZBTB16	SRR1039516	N080611	untrt	15.356310934534
ENSG00000109906.17	ZBTB16	SRR1039517	N080611	trt	1070.40074868086
ENSG00000109906.17	ZBTB16	SRR1039520	N061011	untrt	65.6842009236571
ENSG00000109906.17	ZBTB16	SRR1039521	N061011	trt	2872.00698139508
ENSG00000120129.8	DUSP1	SRR1039508	N61311	untrt	671.767081745192
ENSG00000120129.8	DUSP1	SRR1039509	N61311	trt	5792.96252085073
ENSG00000120129.8	DUSP1	SRR1039512	N052611	untrt	1028.18294444184
ENSG00000120129.8	DUSP1	SRR1039513	N052611	trt	7067.59703180843
ENSG00000120129.8	DUSP1	SRR1039516	N080611	untrt	685.24230328421
ENSG00000120129.8	DUSP1	SRR1039517	N080611	trt	4552.06475793015
ENSG00000120129.8	DUSP1	SRR1039520	N061011	untrt	770.637407852016
ENSG00000120129.8	DUSP1	SRR1039521	N061011	trt	7436.75895243655
ENSG00000179094.19	PER1	SRR1039508	N61311	untrt	188.700089575725
ENSG00000179094.19	PER1	SRR1039509	N61311	trt	1687.94440558714
ENSG00000179094.19	PER1	SRR1039512	N052611	untrt	177.325966606587
ENSG00000179094.19	PER1	SRR1039513	N052611	trt	1315.83126252359
ENSG00000179094.19	PER1	SRR1039516	N080611	untrt	167.423106903345
ENSG00000179094.19	PER1	SRR1039517	N080611	trt	1083.47408780195
ENSG00000179094.19	PER1	SRR1039520	N061011	untrt	147.450004194374
ENSG00000179094.19	PER1	SRR1039521	N061011	trt	1545.30125143992
ENSG00000162692.14	VCAM1	SRR1039508	N61311	untrt	868.246475961604
ENSG00000162692.14	VCAM1	SRR1039509	N61311	trt	70.7121462691784
ENSG00000162692.14	VCAM1	SRR1039512	N052611	untrt	940.141390499747
ENSG00000162692.14	VCAM1	SRR1039513	N052611	trt	81.0005519653127
ENSG00000162692.14	VCAM1	SRR1039516	N080611	untrt	1207.3645557732
ENSG00000162692.14	VCAM1	SRR1039517	N080611	trt	113.715678127335
ENSG00000162692.14	VCAM1	SRR1039520	N061011	untrt	666.17492111708
ENSG00000162692.14	VCAM1	SRR1039521	N061011	trt	43.5813272333168
ENSG00000101347.13	SAMHD1	SRR1039508	N61311	untrt	1702.11648383061
ENSG00000101347.13	SAMHD1	SRR1039509	N61311	trt	20876.0972275173
ENSG00000101347.13	SAMHD1	SRR1039512	N052611	untrt	1964.50669023007
ENSG00000101347.13	SAMHD1	SRR1039513	N052611	trt	32575.7589837569
ENSG00000101347.13	SAMHD1	SRR1039516	N080611	untrt	1663.15332415976
ENSG00000101347.13	SAMHD1	SRR1039517	N080611	trt	15017.2603041449
ENSG00000101347.13	SAMHD1	SRR1039520	N061011	untrt	2148.55923815782
ENSG00000101347.13	SAMHD1	SRR1039521	N061011	trt	39536.8324474262
ENSG00000211445.14	GPX3	SRR1039508	N61311	untrt	919.95045204386
ENSG00000211445.14	GPX3	SRR1039509	N61311	trt	18290.8874177621
ENSG00000211445.14	GPX3	SRR1039512	N052611	untrt	2636.58896831029
ENSG00000211445.14	GPX3	SRR1039513	N052611	trt	37528.3600446397
ENSG00000211445.14	GPX3	SRR1039516	N080611	untrt	1359.57738232286
ENSG00000211445.14	GPX3	SRR1039517	N080611	trt	11694.3579211284
ENSG00000211445.14	GPX3	SRR1039520	N061011	untrt	1902.26767528757
ENSG00000211445.14	GPX3	SRR1039521	N061011	trt	27525.8387584211
ENSG00000196136.20	SERPINA3	SRR1039508	N61311	untrt	687.653662603596
ENSG00000196136.20	SERPINA3	SRR1039509	N61311	trt	9220.24904187099
ENSG00000196136.20	SERPINA3	SRR1039512	N052611	untrt	594.275074669565
ENSG00000196136.20	SERPINA3	SRR1039513	N052611	trt	4711.7548483246
ENSG00000196136.20	SERPINA3	SRR1039516	N080611	untrt	430.191029074909
ENSG00000196136.20	SERPINA3	SRR1039517	N080611	trt	3435.0162382006
ENSG00000196136.20	SERPINA3	SRR1039520	N061011	untrt	391.520569379319
ENSG00000196136.20	SERPINA3	SRR1039521	N061011	trt	3608.76347613727
ENSG00000154734.18	ADAMTS1	SRR1039508	N61311	untrt	6634.19945163701
ENSG00000154734.18	ADAMTS1	SRR1039509	N61311	trt	41456.4364336883
ENSG00000154734.18	ADAMTS1	SRR1039512	N052611	untrt	11636.605839603
ENSG00000154734.18	ADAMTS1	SRR1039513	N052611	trt	54168.9543863921
ENSG00000154734.18	ADAMTS1	SRR1039516	N080611	untrt	8753.49724616714
ENSG00000154734.18	ADAMTS1	SRR1039517	N080611	trt	45421.1357662271
ENSG00000154734.18	ADAMTS1	SRR1039520	N061011	untrt	14595.7335249516
ENSG00000154734.18	ADAMTS1	SRR1039521	N061011	trt	62754.0589284305
