ID	Description	setSize	NES	pvalue	p.adjust	qvalue
GO:0071375	cellular response to peptide hormone stimulus	279	1.8045061824965	1.6259414945224e-07	0.000902560123609386	0.000767444385414575
GO:0046324	regulation of D-glucose import	45	2.09798915304966	3.15688597436752e-06	0.00194709711596823	0.00165561131100163
GO:0046323	D-glucose import	61	2.07417119008719	2.58137639256497e-06	0.00194709711596823	0.00165561131100163
GO:0006006	glucose metabolic process	168	1.87608679300312	1.30286860021743e-06	0.00194709711596823	0.00165561131100163
GO:0031589	cell-substrate adhesion	304	1.72595723572418	3.12417099983461e-06	0.00194709711596823	0.00165561131100163
GO:0003012	muscle system process	333	1.69137926764895	1.9465633318676e-06	0.00194709711596823	0.00165561131100163
GO:0006979	response to oxidative stress	356	1.68733400798121	2.02197400240864e-06	0.00194709711596823	0.00165561131100163
GO:0015980	energy derivation by oxidation of organic compounds	381	1.68275917509974	1.42577557563653e-06	0.00194709711596823	0.00165561131100163
GO:1904659	D-glucose transmembrane transport	84	1.98972727282827	3.51882816093185e-06	0.00195330151213327	0.00166088689195983
GO:0006112	energy reserve metabolic process	84	1.97904104933166	4.22764565212095e-06	0.00212116728589582	0.00180362269670839
GO:0005975	carbohydrate metabolic process	460	1.60382681513796	4.98321672570384e-06	0.00212783354187554	0.00180929099579401
GO:0031069	hair follicle morphogenesis	20	-2.20114360798712	6.32450769139692e-06	0.00227146230595214	0.00193141813801011
GO:0010827	regulation of D-glucose transmembrane transport	62	2.0521233124661	6.54718012884782e-06	0.00227146230595214	0.00193141813801011
GO:0043434	response to peptide hormone	362	1.63597360831374	6.34725904026345e-06	0.00227146230595214	0.00193141813801011
GO:0008643	carbohydrate transport	102	1.89046852569727	1.10675843138344e-05	0.00285284418124408	0.00242576554413116
GO:0006091	generation of precursor metabolites and energy	430	1.57439704520624	1.0628664272946e-05	0.00285284418124408	0.00242576554413116
GO:0048730	epidermis morphogenesis	22	-2.11807252855355	2.40319862211552e-05	0.00473048105872059	0.00402231500579377
GO:0034446	substrate adhesion-dependent cell spreading	92	1.86311101500543	2.63822872371622e-05	0.00488160254844957	0.00415081319198018
GO:0034219	carbohydrate transmembrane transport	98	1.86183574099229	2.76304266106795e-05	0.00494762897148006	0.00420695527749701
GO:0010810	regulation of cell-substrate adhesion	190	1.70707693774534	3.05566786172201e-05	0.00509159851629727	0.00432937218463757
GO:0003382	epithelial cell morphogenesis	26	2.03255835128449	4.10130300770946e-05	0.00583752128097313	0.00496362825548427
GO:0010906	regulation of glucose metabolic process	91	1.81450392904471	4.83071821556844e-05	0.00654032117429766	0.00556121706767879
GO:0006109	regulation of carbohydrate metabolic process	153	1.70348947884013	0.000108146039073799	0.010005311048311	0.00850748840713887
GO:0010828	positive regulation of D-glucose transmembrane transport	36	1.96170127517431	0.00012672840801682	0.0108015270063719	0.00918450864169978
GO:0010907	positive regulation of glucose metabolic process	42	1.8995494486483	0.000133720212237422	0.0110788193750736	0.0094202895785169
GO:0006936	muscle contraction	251	1.57332951419481	0.000227239519760549	0.015016744930843	0.0127686968246404
GO:0090257	regulation of muscle system process	172	1.65124300131914	0.000321107323375736	0.0185673620006115	0.0157877767326403
GO:0001886	endothelial cell morphogenesis	12	1.88531256921045	0.000348694024118875	0.0194041271634131	0.0164992758442281
GO:0007160	cell-matrix adhesion	200	1.63220546659405	0.000354263622786198	0.0194041271634131	0.0164992758442281
GO:0046326	positive regulation of D-glucose import	29	1.89352998644182	0.000379501486304738	0.0202558918315154	0.0172235289938304
GO:0090596	sensory organ morphogenesis	213	-1.57045133843801	0.000390680509081293	0.0204591274142477	0.0173963396496576
GO:0010927	cellular component assembly involved in morphogenesis	95	1.724302505399	0.000407860054398067	0.0207709280914098	0.0176614629060447
GO:0032989	cellular anatomical entity morphogenesis	95	1.724302505399	0.000407860054398067	0.0207709280914098	0.0176614629060447
GO:2000027	regulation of animal organ morphogenesis	57	-1.72366443980225	0.000480342753204566	0.0225964629071063	0.0192137101281827
GO:0060986	endocrine hormone secretion	38	1.81648164084306	0.000536852363519364	0.0242469966690137	0.0206171544366321
GO:0048041	focal adhesion assembly	83	1.73049638747	0.000576081090897233	0.0249830166841448	0.0212429902268355
GO:0050927	positive regulation of positive chemotaxis	22	-1.90452753108999	0.000788199751332887	0.0295981456991272	0.0251672217077789
GO:0051893	regulation of focal adhesion assembly	64	1.78762370230356	0.000794473736114205	0.0295981456991272	0.0251672217077789
GO:0043500	muscle adaptation	83	1.6843418558839	0.0011172258169744	0.0354330181223009	0.0301285976467772
GO:0050926	regulation of positive chemotaxis	23	-1.90935030991131	0.001146014552622	0.0355392557631548	0.0302189312199767
