PC	variance_ratio	variance
PC1	0.021976632515897092	35.05099710839426
PC2	0.011821799259189811	18.854838262875006
PC3	0.009766373283098624	15.57659579818547
PC4	0.008240874888488453	13.143546067765547
PC5	0.005034554442727284	8.029717614217663
PC6	0.0027819250030070926	4.436951164635286
PC7	0.0024399738819486498	3.8915660722303596
PC8	0.0020581485600675896	3.282584771592797
PC9	0.001957888996821399	3.1226786686496344
PC10	0.0019113044754088485	3.048380027848042
PC11	0.0018847087798025716	3.0059619890917846
PC12	0.0018493555341073647	2.949576348036965
PC13	0.0018409591740382863	2.936184815358361
PC14	0.0018331125553639716	2.9236700768848882
PC15	0.0018169029453954909	2.8978170262993435
PC16	0.001807484354008523	2.8827951152203393
PC17	0.0018003396972344511	2.8713999506632892
PC18	0.0017879667133089364	2.851666016290873
PC19	0.0017768067221183923	2.833866709747138
PC20	0.0017719129947250704	2.826061600179577
PC21	0.0017666407363809392	2.8176527635736424
PC22	0.001760478883754223	2.807825094186845
PC23	0.0017514541030316905	2.7934312800854095
PC24	0.0017466588544153602	2.7857832364070414
PC25	0.001743347340616152	2.780501632843962
PC26	0.0017408050297112218	2.776446847284214
PC27	0.0017316305889170317	2.76181433716167
PC28	0.0017211687035833057	2.745128454448951
PC29	0.0017181230486659927	2.740270874852865
PC30	0.0017169129949690359	2.73834093455822
PC31	0.0017105449691300926	2.72818443514433
PC32	0.0017072778891473808	2.722973700017186
PC33	0.001696901795240467	2.7064246478698846
PC34	0.0016903958868285862	2.6960482366172798
PC35	0.001685872436131411	2.68883368920234
PC36	0.0016843283488709939	2.6863709916957568
PC37	0.0016747068832559295	2.6710255122093893
PC38	0.0016714957827869152	2.665904059995418
PC39	0.0016691346018675346	2.662138162489613
PC40	0.0016676973925107328	2.659845926817338
PC41	0.0016628127704032551	2.652055339463204
PC42	0.0016578684470393186	2.6441695333094657
PC43	0.0016551178322817145	2.6397825195190068
PC44	0.0016480537023379044	2.6285157889107253
PC45	0.0016465540105095944	2.6261238986200017
PC46	0.0016396773484723048	2.6151561645501853
PC47	0.0016380813689986218	2.61261070305254
PC48	0.001635590431611429	2.6086378542053597
PC49	0.0016324303554337584	2.6035977817153766
PC50	0.0016281482403492289	2.596768145585406
